cond;age;gender;dotx;doty;fingerx;fingery;;distance;;;;;;;
mono;26;m;621;124;561;184;;84,85281374;;;;;;;
mono;26;m;628;121;567;177;;82,80700453;;;;;;;
mono;26;m;634;117;578;169;;76,4198927;;;;;;;
mono;26;m;641;114;587;161;;71,58910532;;;;;;;
mono;26;m;648;111;591;157;;73,24616031;;;;;;;
mono;26;m;654;109;601;150;;67,00746227;;;;;;;
mono;26;m;661;106;612;143;;61,40032573;;;;;;;
mono;26;m;668;104;621;136;;56,8594759;;;;;;;
mono;26;m;675;102;626;132;;57,45432969;;;;;;;
mono;26;m;682;100;638;125;;50,60632372;;;;;;;
mono;26;m;690;98;649;119;;46,06517123;;;;;;;
mono;26;m;697;96;659;113;;41,62931659;;;;;;;
mono;26;m;704;95;666;110;;40,85339643;;;;;;;
mono;26;m;711;94;676;105;;36,68787266;;;;;;;
mono;26;m;719;93;684;101;;35,90264614;;;;;;;
mono;26;m;726;92;696;96;;30,2654919;;;;;;;
mono;26;m;734;92;701;93;;33,01514804;;;;;;;
mono;26;m;741;91;713;89;;28,0713377;;;;;;;
mono;26;m;749;91;717;87;;32,24903099;;;;;;;
mono;26;m;756;91;722;85;;34,525353;;;;;;;
mono;26;m;764;91;734;82;;31,32091953;;;;;;;
mono;26;m;771;91;738;80;;34,78505426;;;;;;;
mono;26;m;778;91;744;78;;36,40054945;;;;;;;
mono;26;m;785;91;747;78;;40,16217126;;;;;;;
mono;26;m;791;91;754;76;;39,92492956;;;;;;;
mono;26;m;798;92;762;76;;39,39543121;;;;;;;
mono;26;m;805;92;768;76;;40,31128874;;;;;;;
mono;26;m;812;93;772;76;;43,46262762;;;;;;;
mono;26;m;819;94;779;76;;43,8634244;;;;;;;
mono;26;m;825;96;790;76;;40,31128874;;;;;;;
mono;26;m;832;97;798;77;;39,44616585;;;;;;;
mono;26;m;839;99;806;78;;39,11521443;;;;;;;
mono;26;m;845;100;811;78;;40,49691346;;;;;;;
mono;26;m;852;102;821;80;;38,01315562;;;;;;;
mono;26;m;858;105;829;82;;37,01351105;;;;;;;
